name,category,calories,protein,carbs,fat,fiber,iron,calcium,vitamin_c,vitamin_d
Almonds,other,579.0,21.0,22.0,50.0,12.0,3.7,269.0,0.0,0.0
Apple,fruit,52.0,0.3,14.0,0.2,2.4,0.1,6.0,4.6,0.0
Banana,fruit,89.0,1.1,23.0,0.3,2.6,0.3,5.0,8.7,0.0
Bell Pepper,vegetable,31.0,1.0,6.0,0.3,2.1,0.4,7.0,80.0,0.0
Black Beans,lentil,132.0,8.9,24.0,0.5,8.7,2.1,27.0,0.0,0.0
Bread,grain,265.0,9.0,49.0,3.2,2.7,3.6,144.0,0.0,0.0
Broccoli,vegetable,34.0,2.8,6.6,0.4,2.6,0.7,47.0,89.0,0.0
Cabbage,vegetable,25.0,1.3,5.8,0.1,2.5,0.5,40.0,36.0,0.0
Carrot,vegetable,41.0,0.9,9.6,0.2,2.8,0.3,33.0,5.9,0.0
Cauliflower,vegetable,25.0,1.9,5.0,0.3,2.0,0.4,22.0,48.0,0.0
Cheese,dairy,402.0,25.0,1.3,33.0,0.0,0.7,721.0,0.0,0.6
Chicken Breast,non-veg,165.0,31.0,0.0,3.6,0.0,1.0,15.0,0.0,0.1
Chickpeas,lentil,164.0,8.9,27.0,2.6,7.6,2.9,49.0,1.3,0.0
Cucumber,vegetable,15.0,0.7,3.6,0.1,0.5,0.3,16.0,2.8,0.0
Egg,non-veg,155.0,13.0,1.1,11.0,0.0,1.8,56.0,0.0,2.0
Eggs,other,120.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghee,fat-oil,900.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Kidney Beans,lentil,127.0,8.7,23.0,0.5,6.4,2.9,35.0,1.2,0.0
Milk,dairy,42.0,3.4,5.0,1.0,0.0,0.0,125.0,0.0,1.3
Moong Dal,lentil,105.0,7.0,19.0,0.4,7.0,1.4,27.0,1.0,0.0
Mutton,non-veg,294.0,25.0,0.0,21.0,0.0,1.6,17.0,0.0,0.1
Oats,grain,389.0,17.0,66.0,7.0,11.0,4.7,54.0,0.0,0.0
Olive Oil,fat-oil,884.0,0.0,0.0,100.0,0.0,0.6,1.0,0.0,0.0
Onion,vegetable,40.0,1.1,9.3,0.1,1.7,0.2,23.0,7.4,0.0
Orange,fruit,47.0,0.9,12.0,0.1,2.4,0.1,40.0,53.0,0.0
Paneer,dairy,265.0,18.0,1.2,21.0,0.0,0.2,208.0,0.0,0.0
Potato,vegetable,77.0,2.0,17.0,0.1,2.2,0.8,12.0,19.7,0.0
Quinoa,grain,120.0,4.4,21.0,1.9,2.8,1.5,17.0,0.0,0.0
Red Lentils,lentil,116.0,9.0,20.0,0.4,8.0,3.3,19.0,1.5,0.0
Rice,grain,130.0,2.7,28.0,0.3,0.4,1.2,10.0,0.0,0.0
Salmon,non-veg,208.0,20.0,0.0,13.0,0.0,0.8,12.0,0.0,11.0
Shrimp,non-veg,99.0,24.0,0.2,0.3,0.0,0.5,70.0,0.0,0.1
Spinach,vegetable,23.0,2.9,3.6,0.4,2.2,2.7,99.0,28.0,0.0
Tilapia,non-veg,128.0,26.0,0.0,2.7,0.0,0.7,10.0,0.0,3.1
Tofu,other,76.0,8.0,1.9,4.8,0.3,5.4,350.0,0.1,0.0
Tomato,vegetable,18.0,0.9,3.9,0.2,1.2,0.3,10.0,14.0,0.0
Toor Dal,lentil,121.0,7.0,23.0,0.4,5.0,1.1,27.0,0.0,0.0
Turkey,non-veg,250.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheat Flour,grain,297.0,11.0,62.0,3.7,11.0,3.9,34.0,0.0,0.0
Yogurt,dairy,59.0,10.0,3.6,0.4,0.0,0.0,110.0,0.0,0.1
